playername,LPER,Difference_From_Top,Difference_From_Average,LPER_normalized,Z-score,Role_Mean,Role_Std,Z-Elo,Z-Elo_Positive
Leo,3196,-529,362.45121951219517,0.6127379209370425,0.9350527031883566,2903.7571428571428,312.5415884541729,935,2820
Naehyun,2979,-542,318.51948051948057,0.6005895357406043,0.9234766471171931,2711.0461538461536,290.1576850809546,923,2808
Clear,2799,-722,259.9124999999999,0.6677658697444353,0.9164094783539033,2528.5555555555557,295.11310263860327,916,2801
Bang,3188,-537,354.45121951219517,0.6068814055636896,0.9094561096611787,2903.7571428571428,312.5415884541729,909,2794
Deokdam,3187,-538,353.45121951219517,0.6061493411420205,0.9062565354702815,2903.7571428571428,312.5415884541729,906,2791
Kuzan,2967,-554,306.51948051948057,0.5917464996315401,0.8821198241998475,2711.0461538461536,290.1576850809546,882,2767
Nuclear,3170,-555,336.45121951219517,0.5937042459736457,0.8518637742250283,2903.7571428571428,312.5415884541729,852,2737
Prince,3169,-556,335.45121951219517,0.5929721815519766,0.8486642000341311,2903.7571428571428,312.5415884541729,849,2734
Pilot,3164,-561,330.45121951219517,0.5893118594436311,0.8326663290796449,2903.7571428571428,312.5415884541729,833,2718
Expession,2754,-767,214.9124999999999,0.6306677658697445,0.7639255676171198,2528.5555555555557,295.11310263860327,764,2649
Lava,2932,-589,271.51948051948057,0.5659543109801032,0.7614957573575891,2711.0461538461536,290.1576850809546,761,2646
Tempt,2926,-595,265.51948051948057,0.5615327929255711,0.7408173458989163,2711.0461538461536,290.1576850809546,741,2626
SoHwan,2742,-779,202.9124999999999,0.6207749381698269,0.7232631914206442,2528.5555555555557,295.11310263860327,723,2608
Hena,3125,-600,291.45121951219517,0.5607613469985359,0.7078829356346523,2903.7571428571428,312.5415884541729,708,2593
DuDu,2736,-785,196.9124999999999,0.6158285243198681,0.7029320033224065,2528.5555555555557,295.11310263860327,703,2588
Wolf,2177,-768,-164.50617283950623,1.0,0.7015426925941538,1971.75,292.5695074109171,702,2587
ucal,2911,-610,250.51948051948057,0.5504789977892409,0.6891213172522342,2711.0461538461536,290.1576850809546,689,2574
Coco,2910,-611,249.51948051948057,0.5497420781134856,0.6856749153424554,2711.0461538461536,290.1576850809546,686,2571
Ghost,3116,-609,282.45121951219517,0.5541727672035139,0.6790867679165771,2903.7571428571428,312.5415884541729,679,2564
CuVee,2722,-799,182.9124999999999,0.6042868920032977,0.6554925644265183,2528.5555555555557,295.11310263860327,655,2540
HyBriD,3105,-620,271.45121951219517,0.5461200585651538,0.6438914518167074,2903.7571428571428,312.5415884541729,644,2529
Shy,2718,-803,178.9124999999999,0.6009892827699918,0.6419384390276931,2528.5555555555557,295.11310263860327,642,2527
Summit,2711,-810,171.9124999999999,0.5952184666117065,0.6182187195797489,2528.5555555555557,295.11310263860327,618,2503
Crazy,2707,-814,167.9124999999999,0.5919208573784006,0.6046645941809238,2528.5555555555557,295.11310263860327,605,2490
Morgan,2706,-815,166.9124999999999,0.5910964550700742,0.6012760628312175,2528.5555555555557,295.11310263860327,601,2486
TrAce,2706,-815,166.9124999999999,0.5910964550700742,0.6012760628312175,2528.5555555555557,295.11310263860327,601,2486
Burdol,2705,-816,165.9124999999999,0.5902720527617478,0.5978875314815112,2528.5555555555557,295.11310263860327,598,2483
Fly,2876,-645,215.51948051948057,0.524686809137804,0.5684972504099759,2711.0461538461536,290.1576850809546,568,2453
Cepted,2872,-649,211.51948051948057,0.5217391304347826,0.5547116427708607,2711.0461538461536,290.1576850809546,555,2440
Hans SamD,3077,-648,243.45121951219517,0.5256222547584187,0.5543033744715845,2903.7571428571428,312.5415884541729,554,2439
Crown,2860,-661,199.51948051948057,0.5128960943257185,0.5133548198535149,2711.0461538461536,290.1576850809546,513,2398
Route,3058,-667,224.45121951219517,0.5117130307467057,0.49351146484453684,2903.7571428571428,312.5415884541729,494,2379
Hachani,2113,-832,-228.50617283950623,0.8996865203761756,0.48279125617015456,1971.75,292.5695074109171,483,2368
ADD,2668,-853,128.9124999999999,0.5597691673536686,0.47251187154237806,2528.5555555555557,295.11310263860327,473,2358
Jiwoo,3046,-679,212.45121951219517,0.5029282576866764,0.4551165745537699,2903.7571428571428,312.5415884541729,455,2340
Mickey,2834,-687,173.51948051948057,0.4937361827560796,0.4237483701992659,2711.0461538461536,290.1576850809546,424,2309
Ian,2824,-697,163.51948051948057,0.4863669859985262,0.38928435110147785,2711.0461538461536,290.1576850809546,389,2274
LokeN,3022,-703,188.45121951219517,0.48535871156661786,0.378326793972236,2903.7571428571428,312.5415884541729,378,2263
Dove,2818,-703,157.51948051948057,0.4819454679439941,0.368605939642805,2711.0461538461536,290.1576850809546,369,2254
VicLa,2817,-704,156.51948051948057,0.4812085482682388,0.3651595377330262,2711.0461538461536,290.1576850809546,365,2250
Arrow,3016,-709,182.45121951219517,0.48096632503660325,0.35912934882685255,2903.7571428571428,312.5415884541729,359,2244
Caps,2814,-707,153.51948051948057,0.47899778924097275,0.3548203320036898,2711.0461538461536,290.1576850809546,355,2240
Roach,2629,-892,89.91249999999991,0.5276174773289365,0.3403591489038324,2528.5555555555557,295.11310263860327,340,2225
Untara,2628,-893,88.91249999999991,0.52679307502061,0.3369706175541261,2528.5555555555557,295.11310263860327,337,2222
kyeahoo,2803,-718,142.51948051948057,0.470891672807664,0.31690991099612287,2711.0461538461536,290.1576850809546,317,2202
Edge,2801,-720,140.51948051948057,0.4694178334561533,0.3100171071765653,2711.0461538461536,290.1576850809546,310,2195
Ssol,2999,-726,165.45121951219517,0.4685212298682284,0.3047365875815994,2903.7571428571428,312.5415884541729,305,2190
Noah,2998,-727,164.45121951219517,0.4677891654465593,0.30153701339070216,2903.7571428571428,312.5415884541729,302,2187
TusiN,2058,-887,-283.50617283950623,0.8134796238244514,0.29480174049328023,1971.75,292.5695074109171,295,2180
Lindarang,2611,-910,71.91249999999991,0.5127782357790602,0.27936558460911903,2528.5555555555557,295.11310263860327,279,2164
Quad,2786,-735,125.51948051948057,0.45836403831982314,0.2583210785298831,2711.0461538461536,290.1576850809546,258,2143
Ssumday,2593,-928,53.91249999999991,0.49793899422918386,0.2183720203144056,2528.5555555555557,295.11310263860327,218,2103
Rich,2592,-929,52.91249999999991,0.4971145919208574,0.21498348896469932,2528.5555555555557,295.11310263860327,215,2100
Rekkles,2969,-756,135.45121951219517,0.4465592972181552,0.20874936185468204,2903.7571428571428,312.5415884541729,209,2094
